Lat_Deg,Lat_Min,Lat_Sec,Lon_Deg,Lon_Min,Lon_Sec
36,26,25.15,-116,51,54.67
35,4,40.41,-119,22,58.11
33,30,40.49,-116,49,5.03
35,31,25.94,-118,14,46.57
34,12,6.39,-117,40,58.66
34,15,17.98,-117,3,7.02
34,2,33.31,-116,9,54.78
36,49,6.69,-118,58,30.35
34,39,27.46,-118,24,2.42
34,48,17.83,-119,33,33.86
34,0,0.14,-119,41,44.47
34,41,20.3,-119,39,48.5
32,37,35.13,-116,13,50.32
35,16,4.88,-120,32,54.48
36,3,7.99,-116,30,52.87
35,3,43,-119,45,9.07
35,48,25.48,-118,51,37.1
35,26,55.01,-119,17,21.02
35,14,51.49,-118,53,11.46
39,33,12.12,-122,4,42.08
37,12,47.81,-120,41,42.76
32,55,30.18,-115,33,21.5
41,14,28.7,-120,18,37.95
38,30,20.7,-121,27,20.56
38,45,22.61,-120,56,29.65
37,40,7.57,-118,40,36.86
37,29,2.78,-121,15,50.25
37,50,56.74,-119,46,15.87
38,16,7.58,-120,44,31.76
39,39,6.38,-120,27,8.34
39,36,13.23,-121,37,45.5
39,37,57.15,-123,17,58.46
40,14,0.14,-121,57,24.91
40,34,39.57,-120,9,25.89
40,40,1.58,-122,21,8.11
40,37,45.71,-123,1,13.54
41,45,4.92,-120,21,24.18
41,59,49.54,-121,54,16
41,13,4.83,-123,28,59.21
41,51,7.03,-122,9,39.62
41,14,41.86,-122,18,10.43
38,15,5.55,-119,14,9.88
36,43,56.97,-120,15,23.06
37,48,4.81,-122,8,33.74
35,56,24.71,-121,5,21.73
41,23,52.29,-123,29,4
41,24,58.36,-122,12,33.62
41,50,13.74,-121,6,22.85
41,29,14.18,-120,6,17.65
40,8,7.55,-123,38,15.64
40,3,16.86,-122,44,49.47
40,11,26.06,-121,33,57.1
40,12,4.92,-120,38,54.11
39,48,35.89,-123,28,1.4
39,6,41.24,-122,43,49.75
39,3,26.79,-121,1,50.76
39,34,14.9,-120,51,31
38,34,58.74,-122,43,0.61
38,48,14.24,-121,51,5.04
38,51,19.4,-120,27,17.5
37,16,45.22,-121,38,48.38
37,56,8.85,-120,33,5.6
37,8,18.81,-119,38,40.29
37,25,20.77,-118,2,30.73
38,21,59.3,-123,4,56.05
37,12,44.88,-122,9,58.52
36,19,28.18,-121,28,25.12
36,53,50.7,-120,47,39.95
36,5,51.96,-119,20,11.79
41,45,40.48,-122,40,55.86
41,15,11.49,-121,50,9.88
40,58,15.78,-123,43,42.91
40,48,48.72,-121,35,27.55
38,23,45.22,-122,31,42.1
37,37,39.22,-121,45,34.32
37,9,55.62,-120,24,7.3
37,18,10.76,-119,22,35.45
39,12,20.68,-123,22,21.66
39,9,34.98,-120,41,29.62
32,48,42.7,-116,27,18.88
35,18,2.75,-119,15,36.28
37,37,22.73,-121,45,30.3
40,35,59,-121,33,10.48
34,8,18.4,-116,59,39.14
37,10,28.89,-122,14,24.34
35,53,37.58,-118,51,10.46
38,7,1.9,-121,31,38.23
38,16,1.41,-120,44,2.64
34,18,1.05,-116,46,10.25
41,47,29.41,-124,3,16.08
41,18,36.28,-123,32,34.74
40,38,47.34,-122,33,59.15
41,8,57.72,-122,18,2.22
41,36,35.19,-121,3,41.04
41,40,26.94,-121,15,29.7
41,52,20.15,-120,30,2.42
41,3,54.21,-120,28,10.72
40,48,22.67,-123,28,36.54
40,43,16.92,-122,38,22.2
40,9,5.28,-122,51,32.55
40,57,2.65,-121,34,24.52
40,18,41.62,-121,8,19.95
40,26,28.32,-120,50,27.78
40,2,11.04,-120,59,59.56
39,56,46.72,-121,2,58.66
39,30,42.81,-120,10,16.79
39,1,18.67,-120,49,15.73
38,44,11.73,-120,34,15.85
38,44,45.81,-120,47,15.8
37,36,38.78,-120,8,37.12
37,27,48.64,-119,47,8.32
36,3,44.68,-118,7,38.41
35,47,52.9,-118,26,22.41
35,41,46.07,-118,17,22.34
37,46,24.77,-119,1,27.4
34,42,11.99,-119,37,10.81
41,42,53.89,-123,53,15.29
41,6,30.89,-123,5,8.94
41,33,2.56,-121,34,55.28
40,29,35.88,-123,4,40.43
39,9,48.76,-122,36,43.95
39,43,8.78,-120,13,57.68
38,9,32.23,-120,3,21.92
40,53,53.79,-123,36,15.75
40,9,39.71,-120,32,7.32
40,9,3.33,-120,32,17.05
41,57,54.66,-122,26,51.3
41,26,17.38,-122,39,19.63
41,52,58.19,-123,48,26.15
40,37,21.25,-123,39,32.2
40,9,26.7,-123,36,41.78
33,55,10.67,-115,55,54.91
41,16,9.43,-124,2,25.49
40,44,19.81,-108,5,29.39
40,48,46.53,-107,42,16.9
40,9,41.96,-106,49,16.68
40,30,16.73,-105,4,41.89
40,37,21.25,-104,14,29.39
40,11,17.24,-103,25,16.85
40,39,55.01,-102,56,14.51
39,25,55.42,-108,47,21.2
39,59,19.19,-107,40,12.41
39,14,23.77,-106,46,15.62
39,11,24.68,-105,17,47.07
39,27,48.44,-104,18,26.9
39,52,11.69,-103,40,50.02
39,53,11.5,-102,38,43.03
38,42,47.88,-108,9,10.29
38,18,39.15,-107,59,20.93
38,33,42.68,-106,45,49.53
38,1,18.61,-105,43,10.3
38,51,36.03,-104,4,48.15
38,39,47.97,-103,15,52.39
38,9,1.05,-102,31,33.29
37,32,30.95,-108,31,32.97
37,14,9.57,-107,47,57.74
37,19,11.58,-106,48,25
37,19,22.95,-105,35,51.24
37,38,3.16,-104,17,26.49
37,59,45.9,-103,13,58.71
37,41,54.96,-102,18,18.53
40,4,50.62,-108,16,3.2
40,16,14.5,-107,51,26.2
40,43,52.56,-106,27,54.21
40,39,50.94,-105,52,59.81
40,8,37.6,-104,40,5.77
40,43,47.13,-103,24,11.57
40,15,44.35,-102,31,26.38
39,16,13.22,-108,50,49.18
39,43,34.13,-107,16,15.89
39,31,44.81,-106,22,24.19
39,10,51.98,-105,33,2.74
39,51,32.79,-104,21,4.79
39,46,5.11,-103,6,0.71
39,12,45.42,-102,26,5.81
38,36,41.6,-108,40,13.91
38,44,33.39,-107,2,6.63
38,24,42.87,-106,40,51.43
38,51,25.46,-105,30,45.99
38,38,5.87,-104,12,24.96
38,20,30.91,-103,57,11.57
38,46,56.74,-102,27,50.33
37,44,23.57,-108,11,4.26
37,55,48.16,-107,21,29.91
37,30,10.05,-106,31,20.07
37,19,53.48,-105,47,54.68
37,6,55.36,-104,14,30.45
37,23,5.35,-103,30,19.54
37,6,55.11,-102,48,32.3
37,25,27.79,-108,31,40.61
37,11,6.83,-106,57,38.6
37,25,34.39,-105,34,6.94
37,38,21.67,-104,17,9.56
37,46,56.21,-107,0,55.02
37,30,11.9,-106,31,38.26
40,35,56.97,-108,41,58.44
40,12,35.03,-107,2,39.18
40,4,44.81,-106,38,42.34
40,45,38.69,-105,28,38.62
40,51,11.82,-104,32,51.49
40,34,50.54,-103,39,57.99
40,38,43.65,-102,7,54.09
39,31,37.26,-108,28,41.35
39,39,54.76,-107,37,36.97
39,22,42.99,-106,48,5.38
39,40,32.66,-105,51,49.1
39,59,51.77,-104,30,47.94
39,21,59.64,-103,47,38.16
39,32,32.14,-102,37,39.47
38,16,57.54,-108,20,49.23
38,50,4.07,-107,35,56.93
38,45,7.52,-106,25,26.09
38,23,55.93,-105,13,11.73
38,4,46.28,-104,27,58.7
38,10,27.65,-103,13,32.46
38,17,56.93,-102,44,49.84
37,47,15.85,-108,5,49.02
37,15,54.98,-107,12,2.27
37,4,50.18,-106,11,48.62
37,41,23.21,-105,55,41.45
37,6,54,-104,34,43.93
37,31,50.21,-103,7,58.48
37,10,6.01,-102,17,38.23
40,16,19.59,-108,34,41.07
40,39,54.67,-107,49,41.82
40,40,33.21,-106,56,2.02
40,34,48.39,-105,25,43.81
40,55,11.75,-104,43,53.49
40,18,52.13,-103,49,57.31
40,59,44.86,-102,18,35.99
39,27,45.48,-108,57,47.47
39,6,33.63,-107,22,33.18
39,9,14.51,-106,25,18.98
39,25,25.03,-105,58,24.62
39,44,28.11,-104,22,25.41
39,34,11.02,-103,1,28.64
39,10,31.51,-102,7,24.62
38,4,16.87,-108,29,30.62
38,26,55.69,-107,20,44.79
38,26,12.33,-106,6,56.05
38,38,37.36,-105,47,6.98
38,32,38.04,-104,28,45.28
38,46,47.54,-103,20,42.36
38,15,36.1,-102,13,59.39
37,50,33.05,-108,46,47.79
37,4,31.22,-107,52,42.52
37,39,49.85,-106,40,11.41
37,6,10.86,-105,32,36.44
37,36,26.25,-104,46,53.06
37,57,37.56,-103,52,33.86
37,12,20.2,-102,51,31.72
40,12,59.61,-108,45,30.42
40,3,46.87,-107,52,12.81
40,18,10.89,-105,57,32.83
40,1,44.9,-105,19,0.65
39,49,51.49,-108,9,25.63
39,45,42.27,-107,41,1.4
39,57,23.95,-106,33,38.92
39,55,3.56,-105,30,31.53
39,0,56.54,-104,44,8.62
38,16,36.37,-108,32,24.15
38,10,3.26,-107,44,28.33
38,3,17.26,-106,51,6.3
38,9,20.55,-105,30,24.85
37,26,56.6,-108,28,43.5
37,56,39.02,-107,49,50.59
37,50,6.26,-106,15,13.32
37,56,33.86,-107,13,1.97
37,20,51.44,-104,35,29.5
39,7,25.88,-106,10,8.53
38,4,54.14,-104,27,9.37
39,48,35.79,-105,8,4.56
40,49,57.65,-104,48,18.79
39,41,52.83,-105,23,52.78
37,15,14.61,-108,29,41.6
41,20,25.3,-71,58,49.71
41,40,11.69,-72,54,54.63
41,42,17.5,-72,31,50.58
41,25,7.74,-72,9,52.4
41,57,15.48,-72,8,31.83
41,16,56.5,-72,28,6.76
41,46,14.74,-72,8,20.66
41,33,6.42,-73,13,49.87
41,32,14.24,-73,30,32.95
41,3,49.29,-73,37,52.43
41,23,13.65,-73,29,56.09
41,45,45.65,-73,20,19.28
41,15,30.28,-73,15,22.42
41,33,55.22,-72,36,17.02
41,35,39.04,-72,51,50.27
41,52,39.7,-72,57,15.53
41,44,21.79,-72,57,33.05
41,52,33.96,-72,57,6.9
39,30,48.88,-75,41,35.96
39,45,5.34,-75,36,5.66
38,57,33.23,-75,32,40.18
39,2,48.07,-75,28,9.09
39,2,59.05,-75,31,15.73
38,28,36.36,-75,11,26.42
38,40,52.22,-75,14,5.71
38,31,55.63,-75,26,6.39
38,35,26.95,-75,3,59.22
38,45,19.92,-75,17,20.18
39,20,26.06,-75,32,58.21
38,31,1.72,-75,26,2.89
38,44,58.58,-75,22,41.57
30,54,15.19,-87,25,2.87
30,22,3.42,-86,17,4.3
30,32,23.32,-86,30,14.14
30,32,55.07,-85,8,17.03
30,20,18.27,-85,18,36.42
30,35,29.52,-84,2,55.94
30,21,48.17,-85,55,10.7
30,17,30.39,-84,55,14.5
29,47,58.77,-85,18,33.09
30,11,27.51,-83,55,59.46
29,21,47.32,-83,10,55.09
30,30,18.18,-82,45,35.79
29,33,14.84,-82,18,3.89
29,10,53.72,-82,24,17.35
29,59,25.16,-84,54,13.12
28,3,25.16,-82,28,50.74
27,28,51.56,-82,8,48.05
29,54,37.62,-81,20,54.86
30,40,3.54,-81,54,29
28,19,10.57,-82,18,56.75
29,50,47.94,-81,49,5.71
28,1,35.65,-81,46,15.4
28,33,56,-81,59,21.49
27,18,19.2,-81,23,20.52
28,44,53.2,-80,52,8.17
26,18,9.58,-81,29,37.72
27,40,57.04,-82,9,44.99
25,40,3.49,-81,0,54.27
27,54,22.25,-81,43,13
27,53,38.43,-80,55,14.63
27,0,3.61,-80,21,32.72
26,46,22.43,-81,52,26.54
26,4,55.19,-80,44,55.95
25,41,51.72,-80,45,20.39
24,58,26.16,-80,35,28.16
30,12,43.43,-82,15,53.09
30,5,55.35,-81,48,5.26
26,23,58.02,-80,12,19.77
26,4,34.02,-80,45,38.44
30,22,21.68,-87,2,52.13
30,51,54.48,-86,50,57.88
30,43,12.35,-86,7,5.41
30,30,28.08,-85,17,4.89
30,56,29.93,-85,54,34.36
30,23,55.25,-83,28,4.78
30,21,40.24,-84,40,6.73
30,17,43.17,-83,18,22.55
29,54,36.58,-82,52,44.89
30,34,51.28,-81,53,39.17
30,31,43.72,-83,14,21.54
30,0,42.12,-84,31,33.51
29,22,24.23,-81,58,50.55
29,19,12.12,-81,20,26.15
29,15,37.46,-82,14,56.96
28,39,16.9,-82,21,4.85
28,16,31.42,-80,58,56.01
28,32,13.38,-81,35,9.81
28,19,41.72,-81,21,53.87
27,54,20.42,-82,14,16.09
27,15,48.45,-82,18,51.72
27,24,52.45,-81,35,55.55
27,45,42.47,-81,29,30.46
27,21,20.09,-80,28,10.47
27,41,2.85,-80,31,36.4
26,28,41.85,-80,30,59.94
26,5,51.06,-80,18,55.14
25,39,49.02,-80,29,2.62
25,22,41.75,-80,37,9.83
25,12,17.23,-80,21,9.67
26,34,6.56,-81,14,10.07
26,57,20.4,-81,29,35.75
24,39,57.54,-81,24,19.3
29,33,5.34,-83,8,18.65
28,21,27.47,-82,43,36.06
26,26,39.36,-81,39,59.17
25,58,11.16,-81,31,7.27
30,23,12.27,-85,18,6.62
30,23,12.28,-85,52,44.87
30,17,4.74,-84,55,45.43
29,28,55.49,-82,8,34.61
28,6,55.67,-82,33,37.67
27,45,58.39,-81,42,13.11
26,57,52.24,-81,56,12.21
25,9,16.22,-80,53,32.17
30,15,29.67,-82,9,8.33
29,11,29.08,-82,17,29.64
27,29,58.07,-81,36,42.08
27,41,2.25,-80,31,32.25
25,22,52.58,-80,29,2.81
25,12,15.8,-80,21,42.34
24,35,34.02,-81,35,38.76
30,10,26.97,-84,42,50.7
30,21,21.26,-82,26,2.55
29,13,25.13,-81,46,8.53
30,53,37.96,-85,0,23.26
28,39,39.02,-82,10,43.33
28,25,14.84,-81,57,19.94
25,25,0.3,-80,40,52.28
26,53,26.71,-81,52,5.67
26,52,29.33,-80,23,0.05
26,20,56.35,-80,50,50.44
26,50,8.23,-81,41,40.41
28,38,43.92,-80,47,47.92
26,57,42.14,-81,59,18.64
30,14,38.96,-82,24,51.92
28,34,55.07,-81,9,3.93
26,58,29.74,-80,34,49.73
30,25,51.61,-86,45,30.16
29,40,31.32,-85,14,3.82
28,42,21.13,-82,33,3.98
30,54,44.26,-81,32,47.62
30,43,34.85,-82,5,21.04
31,20,6.4,-81,23,21.89
30,56,32.65,-83,2,30.82
31,55,6.92,-82,14,33.52
30,49,2.57,-84,32,38.81
31,42,41.68,-83,13,34.82
31,23,45.52,-81,40,26.76
31,54,1.31,-84,59,49.54
31,43,58.64,-84,46,27.53
32,20,55.56,-81,23,36.42
32,13,12.48,-82,29,22.39
32,42,22.56,-82,45,39.57
32,24,38.23,-83,29,19.62
32,58,43.11,-84,1,58.35
32,57,5.96,-84,31,43.46
31,12,23.91,-82,13,5.03
31,12,59.82,-83,16,25.65
33,46,14.7,-82,30,32.66
33,45,37.88,-83,9,52.78
31,17,39.41,-84,25,59.2
33,11,55.32,-84,29,27.33
33,38,27.85,-84,53,38.09
34,3,31.03,-83,19,54.76
31,8,15.9,-84,4,31.97
34,34,32.21,-84,44,14.41
34,3,35.26,-84,47,7.42
32,24,38.19,-83,49,59.45
31,37,24.56,-83,55,44.35
34,30,14.53,-83,32,51.35
33,32,15.29,-83,6,55.64
33,31,39.14,-82,13,54.21
32,12,1.52,-84,17,24.52
32,51,50.89,-81,37,41.04
32,58,32.45,-83,41,10.54
33,32,33.52,-85,15,41.03
34,40,17.66,-85,21,51.56
32,19,0.71,-84,36,34.66
34,23,34.29,-85,4,51.27
34,51,53.66,-84,3,41.82
34,54,22.28,-83,24,22.27
34,9,47.56,-84,28,12.4
33,54,38.14,-84,45,24.38
33,38,39.76,-84,13,53.63
33,36,45.53,-83,35,49.05
33,6,12.76,-83,49,35.28
33,39,11.48,-82,38,19.07
33,0,5.6,-82,46,40.54
32,8,25.71,-83,34,14.44
32,11,35.37,-82,57,23.76
32,54,25.12,-82,22,50.92
31,55,3.69,-83,34,29.77
31,56,42.54,-82,54,8.94
32,35,3.54,-81,44,41.73
31,27,11.83,-82,49,49.43
31,48,24.36,-81,10,50.09
30,39,10.02,-83,53,56.86
30,38,55.85,-82,42,38.19
30,45,9.19,-82,5,53.1
32,23,46.94,-81,29,20.35
32,13,20.7,-82,29,15.96
31,1,9.76,-82,21,59.48
33,46,47.68,-82,30,41.55
33,38,33.73,-84,53,32.76
31,27,35.86,-82,49,31.05
31,36,44.7,-81,37,36.73
30,47,26.28,-82,55,53.51
33,9,28.56,-83,42,24.97
48,33,36.05,-116,25,3.51
47,47,10.85,-116,40,51.85
47,2,58.24,-115,47,59.04
46,27,28.18,-116,35,35.18
46,4,1.42,-115,26,2.87
46,45,54.72,-114,45,45.21
45,56,42.25,-116,11,0.41
45,51,48.89,-115,44,13.85
45,42,34.29,-114,38,14.15
45,0,9.48,-113,34,16.88
44,31,13.75,-116,3,36.27
44,29,47.98,-115,5,42.34
44,33,12.94,-114,13,24.91
44,47,48.5,-113,22,55.03
44,14,3.83,-112,16,57.58
44,1,30.79,-111,16,55.46
43,26,19.17,-116,5,51.58
43,45,43.7,-115,57,16.77
43,49,22.83,-114,59,13.21
43,25,0.05,-113,28,11.68
43,9,30.96,-112,48,1.72
43,32,5.52,-111,42,46.53
42,53,24.88,-116,35,51.75
42,49,25.37,-115,5,53.01
42,14,4.85,-114,16,18.74
42,41,30.52,-113,35,26.58
42,51,58.78,-112,29,0.56
42,58,44.08,-111,33,16
48,20,29.79,-116,51,21.67
45,43,14.38,-115,4,25.59
44,25,38.95,-116,2,25.01
43,55,48.07,-114,47,38.96
42,56,48.91,-115,11,50.9
42,52,6.58,-111,33,19.69
47,7,7.69,-116,6,58.35
46,35,2.27,-116,50,41.06
46,32,18.34,-115,38,46.02
45,26,21.99,-116,10,47.4
45,15,37.77,-115,49,48.79
45,11,58.36,-114,13,46.81
44,19,57.83,-116,33,53.58
44,52,6.63,-115,31,47.03
44,25,46.6,-114,44,10.95
44,19,18.35,-113,35,12.8
43,5,4.25,-116,37,58.71
43,45,11.86,-115,15,12.87
43,19,3.27,-114,7,24.34
43,13,59.6,-113,47,58.8
43,52,0.93,-112,32,15.25
43,42,49.76,-111,13,27.48
42,33,19.37,-116,55,24.07
42,39,26.87,-115,35,37.72
42,27,59.51,-114,16,17.06
42,4,43.68,-113,42,14.51
42,21,14.3,-112,25,52.36
42,8,1.56,-111,55,46.65
43,29,6.97,-112,48,32.56
43,34,2.13,-113,3,51.82
43,52,8.72,-112,49,48.57
43,33,56.94,-112,52,42.16
43,31,43.33,-112,39,34.94
47,52,55.56,-116,10,40.66
47,32,41.86,-116,20,24.67
42,23,33.58,-90,18,58.2
42,10,56.57,-89,20,22.91
42,4,23.37,-89,5,49.38
42,11,31.75,-88,59,14.02
42,9,42.1,-88,10,38.57
42,1,1.19,-87,54,41.83
41,24,11.23,-90,2,21.97
41,30,11.58,-90,13,29.05
41,12,4.56,-89,27,10.8
41,21,43.25,-89,46,54.86
41,20,27.52,-89,43,24.37
41,39,35.9,-89,1,59.52
41,5,24.69,-88,50,39.1
41,56,32.17,-88,11,4.93
41,10,2.98,-88,11,19.15
41,32,35.33,-88,34,13.31
41,13,45.43,-87,35,53.2
41,26,19.99,-87,58,50.15
40,48,2.2,-91,3,23.93
40,13,59.21,-91,11,42.81
40,6,31.08,-90,0,19.29
40,39,43.5,-90,59,17.04
40,55,24.9,-90,2,14.56
40,52,26.1,-90,30,21.46
40,36,59.37,-89,38,7.57
40,56,50.58,-89,48,24.76
40,36,49.16,-89,19,59.63
40,29,51.43,-89,31,0.31
40,56,13.89,-88,57,10.88
40,5,35.22,-88,33,45.55
40,43,38.61,-88,34,59.89
40,54,4.42,-88,40,45.92
40,15,0.41,-87,58,5.08
40,39,30.57,-87,44,36.45
39,54,8.77,-91,17,50.47
39,59,22.06,-90,20,56
39,26,19.57,-90,10,15.67
39,48,8.87,-90,25,57.08
39,23,0.91,-90,50,39.01
39,35,47.36,-89,31,9.61
39,28,9.09,-89,16,55.49
39,24,47.63,-89,12,15.68
39,33,48.58,-89,27,32.06
39,54,15.8,-88,6,1.81
39,22,31.37,-88,16,46.53
39,19,11.83,-88,12,17.84
39,37,42.26,-88,23,2.72
39,20,13.64,-87,47,46.75
38,23,18.48,-90,14,22.79
38,32,50.34,-89,49,43.09
38,42,50.07,-89,32,1.74
38,40,24.44,-89,46,6.5
38,21,52.73,-89,18,41.64
38,13,26.94,-88,14,23.91
38,24,10.04,-88,57,0.6
38,43,30.11,-88,10,16.82
38,41,40.05,-88,27,24.2
38,50,43.77,-87,45,32.29
37,14,6.29,-89,15,21.11
37,58,13.54,-89,45,42.14
37,19,19.9,-88,57,29.17
37,36,7.6,-88,31,9.08
37,4,13.82,-88,31,56.35
39,0,57.95,-87,48,22.04
42,8,1.57,-89,46,56.65
42,24,59.25,-88,54,36.67
41,20,26.47,-90,32,22.73
41,28,57.55,-89,5,56.28
41,18,50.17,-88,36,14.05
40,3,23.28,-91,6,46.11
40,20,2.02,-90,7,47.02
40,1,30.7,-89,49,28.93
40,17,41.46,-88,45,48.16
39,17,14.06,-90,32,44.65
39,24,1.21,-89,50,28.79
39,6,14.37,-88,6,26.14
39,8,1.35,-87,40,1.6
38,19,50.87,-89,42,34.52
38,2,33.21,-88,13,49.6
37,12,8.83,-89,16,46.28
37,36,47.66,-88,10,53.79
39,54,5.18,-91,17,19.64
39,57,5.92,-89,45,54.35
41,36,29.21,-87,27,13.52
41,20,17.54,-87,11,56.35
41,44,8.09,-86,13,8.32
41,17,6.26,-86,34,21.57
41,2,54.62,-86,18,39.93
41,34,50.32,-85,40,41.25
41,1,33.25,-85,29,20.76
41,6,13.55,-85,49,0.61
41,36,55.93,-84,56,58.49
40,40,56.83,-87,21,37.89
40,25,35.29,-87,3,17.02
40,44,35.59,-86,49,21.49
40,37,33.92,-86,11,35.09
40,9,6.66,-86,42,1.66
40,13,10.66,-86,3,22.34
40,2,46.42,-85,33,53.8
40,8,45.58,-85,22,40.07
40,31,32.82,-85,48,35.82
40,51,58.93,-85,54,58.69
40,41,51.94,-84,51,10.63
39,20,40.41,-87,23,33.79
39,34,36.55,-87,9,4.76
39,5,0.4,-86,21,48
39,38,43.05,-86,18,42.56
39,54,36.06,-86,34,5.87
39,15,15.69,-86,43,6.61
39,5,0.16,-85,57,53.1
39,41,37.29,-85,28,57.37
39,28,5.59,-85,27,51.2
39,33,13.49,-85,44,13.53
39,29,7.34,-84,58,13.95
38,40,53.41,-87,8,36.83
38,34,37.9,-87,11,21.66
38,6,29.87,-87,24,40.8
38,47,59.41,-86,44,46.77
38,24,39.03,-86,49,42.18
38,55,12.8,-86,10,3.93
38,38,49.09,-85,57,16.23
38,16,15.86,-86,10,48.83
38,46,1.28,-85,6,27.63
38,43,10.03,-85,43,34.75
37,59,50.14,-87,28,13.23
41,32,43.87,-87,11,11.31
41,38,9.87,-86,22,10.65
40,13,38.42,-86,3,39.21
40,8,38.26,-85,21,16.3
41,23,47.39,-87,22,28.87
41,38,46.63,-86,50,27.4
41,45,15.48,-85,28,46.48
41,4,1.85,-84,55,6.31
40,58,10.98,-87,4,52.19
40,11,14.09,-86,27,10.26
40,24,21.76,-85,14,36.25
40,48,40.68,-84,57,59.14
39,58,4.83,-87,21,36.68
39,56,54.93,-86,22,4.44
39,55,28.38,-85,5,3.51
39,40,29.62,-84,51,10.08
39,7,43.24,-87,3,10.79
38,46,36.05,-86,32,8.82
38,57,2.81,-85,9,31.01
37,54,44.67,-87,37,55.99
39,56,43.5,-86,29,36.98
39,2,1.27,-86,17,9.68
41,42,15.69,-86,56,49.66
41,3,36.13,-87,26,6.66
40,46,48.3,-91,39,33.88
40,39,31.64,-92,52,41.47
40,53,47.45,-93,9,58.53
40,38,32.11,-94,39,12.88
40,38,34.16,-95,7,10.94
41,58,18.21,-90,18,14.75
41,34,43.25,-91,16,21.7
41,43,52.2,-91,14,9.72
41,42,29.07,-92,21,1.31
41,39,13.42,-92,14,41.51
41,24,11.54,-93,6,27.24
41,40,32.81,-93,35,3.89
41,39,25.74,-94,9,27.36
41,45,53.81,-94,5,38.52
41,27,23.85,-95,44,52.26
41,7,55.79,-95,20,17.82
42,3,2.96,-90,35,56.66
42,12,0.57,-91,43,43.01
42,11,9.79,-91,23,51.85
42,25,37.87,-92,29,19.16
42,13,36.23,-92,31,22.03
42,58,7,-93,50,4.62
42,8,18.77,-93,20,56.25
42,2,47.86,-94,33,42.23
42,37,38.4,-94,17,15.37
42,32,40.31,-95,52,11.17
42,38,59.45,-95,41,32.44
42,28,54.18,-96,23,5.93
43,3,32.48,-91,52,14.66
43,20,7.35,-92,15,5.65
43,1,57.02,-93,34,54.08
43,12,4.73,-94,1,17.61
43,2,2.2,-95,34,46.13
43,16,26.19,-96,17,24.79
41,43,4.89,-91,14,52.9
42,12,51.04,-91,43,25.21
42,9,17.96,-93,21,42.98
43,1,3.38,-93,34,42.09
37,3,55.11,-94,59,20.33
37,36,54.66,-95,17,46.36
37,51,24.45,-95,26,33.77
37,52,40.96,-96,21,2.7
37,59,8.04,-96,17,43.18
37,23,49.65,-97,19,44.14
37,15,29.86,-97,14,4.87
37,58,44.23,-98,52,33.17
37,32,44.54,-98,45,41.87
37,13,16.53,-99,13,8.01
37,8,45.41,-99,45,30.88
37,57,57.26,-101,23,25.62
38,48,39.12,-94,54,39.62
38,54,38.19,-95,53,57.78
38,27,16.28,-95,47,6.11
38,55,0.3,-96,46,18.95
38,19,52.84,-96,30,59.79
38,51,32.48,-97,14,2.59
38,59,41.45,-97,6,5.62
38,27,53.69,-98,58,13.57
38,33,47.17,-98,3,10.96
38,10,17.92,-99,35,9.68
38,44,58.79,-99,27,54.18
38,41,20.66,-101,42,39.93
39,38,14.04,-100,18,41.38
39,3,57.68,-95,37,38.89
39,15,55.79,-95,36,48.35
39,53,19.66,-96,53,26.08
39,43,47.29,-96,1,52.2
39,59,26.48,-97,1,11.29
39,9,32.44,-97,31,28.92
39,20,58.72,-98,47,2.26
39,40,30.21,-98,6,48.78
39,43,39.48,-99,13,55.33
39,41,26.65,-99,34,37.5
38,54,47.59,-100,14,16.46
37,19,4.37,-100,29,7.97
39,11,57.85,-101,59,51.12
37,18,18.86,-96,6,18.44
38,49,20.3,-97,16,28.92
37,18,29.87,-94,44,13.2
37,22,52.62,-95,27,19.5
37,47,1.03,-96,26,1.41
37,47,18.71,-97,27,53.35
37,51,26.62,-98,52,41.65
37,49,5.29,-99,23,5.97
37,49,52.82,-100,52,38.95
37,23,37.81,-101,15,54.01
38,13,53.48,-94,36,31.87
38,40,52.99,-95,7,32.12
38,31,18.79,-96,53,47.08
38,12,58.38,-97,12,59.74
38,40,49.43,-98,46,47.79
38,19,36.95,-99,14,14.43
38,28,47.29,-100,43,54.83
38,11,3.26,-101,21,11.72
39,47,0.66,-95,13,17.59
39,39,53.29,-96,31,0.77
39,34,40.65,-97,49,48.87
39,34,39.47,-98,10,23.73
39,20,7.87,-99,16,3.38
39,29,9.05,-100,38,40.31
39,7,43.37,-101,43,5.23
36,39,45.22,-83,34,7.97
36,56,53.91,-88,49,2.75
36,42,46.31,-88,12,21.98
36,47,4.67,-87,58,54.67
36,40,42.31,-87,1,27.25
36,58,5.51,-86,37,33.73
36,56,57.05,-86,12,56.47
36,49,51.04,-85,43,54.52
36,39,34.55,-85,23,14.76
36,39,57.59,-84,59,29.96
36,49,30.93,-84,50,36.15
36,52,47.53,-89,3,36.71
37,26,3.93,-82,12,38.06
37,45,28.79,-82,51,36.83
37,14,14.57,-82,55,0.75
37,25,56.64,-83,58,32.16
37,46,10.99,-83,35,45.65
37,38,25.75,-83,48,1.45
37,59,30.53,-83,58,27.56
37,50,7.51,-84,27,29.53
37,20,3.8,-84,45,52.92
37,26,52.73,-84,50,17.07
37,57,57.14,-84,50,52.76
37,35,33.05,-85,45,28.38
37,26,15.38,-85,8,55.92
